Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
41620;761;0.954499587;80.54149166;0.903114107;60.97300907;3.387449919;39.40033036;2.958427977;0.001830488;281.0957922;0.332395165;85906;1060;0.979488057;94.11981394;0.960774861;74.76542841;49.39142124;69.43320798;3.264971704;0.000838405;423.6306353;0.342023771;0.365677936;0.563703704;0.495254785;0.48448304;0.717924528;3
30561;669;0.907689566;95.39641043;0.858074882;70.31587994;7.649513197;46.12142396;2.992047555;0.001443192;260.4288034;0.374495295;52849;2949;0.811401287;87.23111239;0.076365481;52.29357004;39.56829088;49.06728728;3.234974381;0.000860839;1136.829484;0.40966331;0.352540144;0.567911715;0.457951903;0.578270166;0.226856562;3
28564;678;0.922341697;99.11253356;0.780853391;77.81969251;5.912339572;51.12911765;2.975347271;0.001758897;302.9508253;0.348427172;39957;1387;0.880498017;76.67263407;0.261005594;32.52058824;23.03545455;28.21096257;3.268209214;0.000965937;1110.973704;0.352649346;0.381871658;0.619744059;0.905562818;0.714868484;0.488824802;3
39722;677;0.975036206;95.4443397;1.089089657;60.066619;7.497833703;45.06757704;3.018107929;0.001276134;238.767628;0.353750023;46075;960;0.964941674;45.19865081;0.628250354;9.851590763;6.818638736;8.705519411;3.225174719;0.000947325;580.8263714;0.338189222;0.283992279;0.451935915;0.647487044;0.862116115;0.705208333;3
37360;860;0.882902044;94.90350194;0.634775022;63.37115003;12.06321877;47.4645076;3.043060042;0.001166146;320.1597097;0.354310943;54825;2329;0.888761003;70.95180971;0.127013396;28.98156808;21.80304858;27.02257931;3.286068879;0.00076387;957.7149507;0.365296003;0.308658295;0.617816092;0.57946831;0.681440948;0.369257192;3
36027;888;0.83562184;96.15040613;0.574132368;61.88322154;5.974089932;45.05587393;3.033849986;0.001346617;379.1028712;0.34539463;56927;2797;0.754959949;80.75713069;0.091441476;36.2834804;28.66470761;34.51481506;3.297195369;0.000827465;1665.840782;0.349015194;0.293264848;0.633380884;0.220015049;0.632863141;0.317483018;3
34752;925;0.842881397;82.17861148;0.510394754;50.47685971;11.66750574;40.44882306;2.832240313;0.002057306;354.1027051;0.371051866;56439;2392;0.761639362;66.77700055;0.123955792;29.49183678;22.7464392;29.08642199;3.14253324;0.001078821;859.9737657;0.374431449;0.274227276;0.649578652;0.59847343;0.615744432;0.386705686;3
38244;1351;0.8247396;70.57184533;0.263307043;35.35732657;7.53909905;28.31884672;2.877990342;0.001790029;258.0206389;0.377175517;67741;3246;0.632230788;64.46537859;0.08079127;26.98601791;20.91664726;26.68425454;3.14552527;0.00099158;1009.07356;0.38293795;0.202396325;0.772;0.217464447;0.564562082;0.416204559;3
41506;705;0.974433619;93.63881509;1.049403508;61.44507768;6.842790765;45.37514157;2.99641712;0.001400928;245.4184907;0.351491737;62627;3435;0.850321109;77.23758731;0.066698795;32.79837375;24.44177436;29.4444388;3.27292958;0.000807573;1793.953777;0.353345043;0.30133585;0.474427995;0.754780352;0.662749293;0.205240175;3
17971;830;0.755846231;58.78054673;0.327812812;40.21557994;7.451972633;17.25162067;2.841766126;0.002097453;175.0936272;0.371277924;10743;3614;0.373721561;55.4244571;0.010336158;18.70249789;14.9805161;17.28279491;3.333563132;0.000821913;4230.558967;0.243907201;0.322714458;0.879237288;0.318012476;1.672810202;0.229662424;4
17513;947;0.591156118;55.53219364;0.245397681;33.15337228;9.651923223;16.57434186;2.712367806;0.002712338;234.4492352;0.394049494;11037;3051;0.437282092;53.07033643;0.014899665;17.00616038;13.31261665;15.92521053;3.403580357;0.000725046;3702.155324;0.241093146;0.265730976;0.921206226;0.581935823;1.586753647;0.310390036;4
19254;735;0.766816679;48.42385981;0.447874311;25.35457641;6.420776914;13.47048708;2.805982304;0.00234811;184.5441583;0.39191827;21179;3333;0.621777934;58.02506293;0.023957676;20.00413397;16.07888713;18.70533772;3.250466474;0.001054926;2800.528744;0.322304566;0.219271373;0.618686869;0.388773203;0.909108079;0.220522052;4
19242;1022;0.91838488;56.50928502;0.231503885;33.78392622;8.414978157;16.6275709;2.804661335;0.00236277;230.4647945;0.366226408;17550;3214;0.455288349;65.10306872;0.02134987;26.73705014;21.13086471;24.38970945;3.407967248;0.00075441;3642.510051;0.266560751;0.266860828;0.949814126;0.200706929;1.096410256;0.317983821;4
16362;878;0.728624866;54.9783774;0.266721006;32.62970968;8.456;17.41416129;2.84330328;0.002056088;269.3464511;0.373192209;22045;3403;0.535644863;76.02376061;0.023921922;38.37691935;30.78453226;36.80795161;3.421438497;0.000649865;2730.874947;0.287562331;0.263903226;0.881526104;0.133494094;0.742209118;0.25800764;4
14925;1029;0.838954469;55.24471686;0.177130543;30.94186235;9.40217004;16.0702996;2.75512753;0.002489679;372.7950614;0.380180843;19858;3075;0.475800268;81.18559132;0.026390956;45.80591093;36.52008097;42.70845344;3.291629614;0.001026199;3348.81736;0.304552142;0.241700405;1.035211268;0.424634427;0.751586262;0.334634146;4
17600;963;0.757608368;50.40970133;0.238489881;26.0934576;5.406055068;11.83276072;2.840660257;0.002204667;204.1135671;0.374786225;27387;3142;0.487860057;84.05439735;0.03486117;51.36694688;41.01397417;47.47793616;3.372580798;0.000779535;3320.876898;0.276477194;0.214424951;0.840314136;0.269014657;0.642640669;0.30649268;4
18715;1040;0.793512826;48.92467354;0.217436784;27.03683446;6.730377907;13.83386883;2.813636359;0.002294951;208.6805902;0.384723453;20399;4407;0.527187678;63.46746537;0.013198745;25.48333588;20.52891677;23.55831803;3.270763561;0.000994495;3273.025659;0.308372809;0.238614341;0.925266904;0.225360557;0.917446934;0.235988201;4
16473;830;0.925865558;50.68368051;0.300487477;31.13914104;7.052381114;14.31103509;2.816720864;0.002222688;169.6983353;0.384937464;11679;2833;0.401588612;55.90021605;0.018286154;20.42082712;16.03917152;19.33611638;3.407816273;0.000693357;3298.244222;0.260101723;0.278976426;0.853909465;0.438601464;1.410480349;0.292975644;4
14640;1009;0.640560053;50.30033388;0.18070435;26.4792328;7.738366174;12.4441217;2.639974505;0.00328997;247.78955;0.390641783;14607;3680;0.411441609;71.43820618;0.013554243;34.17061448;28.00857939;32.26238246;3.275027871;0.001009551;4425.878253;0.270310639;0.219201054;0.972061657;0.473879725;1.002259191;0.274184783;4
12159;1028;0.72061874;72.29659979;0.144584419;29.03950965;7.511772845;23.68662161;3.050185948;0.001258765;970.7655434;0.308688163;24225;1101;0.812837634;72.85990468;0.25113024;29.08709275;18.85045799;26.76968907;3.380442649;0.000542952;1180.48237;0.302077347;0.139044221;0.868243243;0.068357192;0.501919505;0.933696639;4
12398;740;0.632228455;82.49267454;0.284510341;40.51918973;10.56779954;30.68161991;3.028233614;0.001285075;665.6510638;0.317497484;22147;730;0.834381946;75.568329;0.522250722;32.04722902;21.21689261;28.50527208;3.357253126;0.00060793;890.7556108;0.310015165;0.194533358;0.728346457;0.417424262;0.55980494;1.01369863;4
10565;974;0.8039723;80.89773842;0.13994631;39.51238825;12.11486955;30.84013866;2.846884048;0.001943465;941.5016435;0.344869944;22062;630;0.903291844;84.05718421;0.698511636;43.02437511;26.93218391;38.77434775;3.25931312;0.000760601;747.4458468;0.343592503;0.192756796;1.033970276;0.37363863;0.478877708;1.546031746;4
12568;736;0.791635173;80.93737485;0.291554942;38.97747788;9.605967911;30.051432;3.056196914;0.001219897;633.0220815;0.314948914;21179;856;0.898786284;70.37920125;0.363218353;26.92843005;18.0559904;24.43865647;3.392785877;0.000551641;1003.851263;0.300287819;0.188454041;0.709055877;0.092105523;0.593418008;0.859813084;4
