Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
25360;3396;0.2428;80.055725;0.027633;0.943765;0.606113;238.789093;0.847457;98188;9183;0.28495;104.51429;0.014632;1.932543;0.135454;908.769836;0.702357;0.217183;2.482456;0.217154;0.25828;0.369814;4
24097;3288;0.276187;89.53685;0.02801;1.148741;0.510402;245.985764;0.811359;80815;7860;0.317583;105.429268;0.016438;2.068958;0.110844;928.540588;0.689148;0.280214;2.795918;0.338543;0.298175;0.418321;5
23885;8997;0.231902;86.488213;0.003708;0.974835;0.565698;536.798401;0.833012;66894;7110;0.297835;105.323341;0.016629;1.645645;0.308334;1249.135742;0.704396;0.237041;7.073113;0.339192;0.357057;1.265401;1
18847;2070;0.31798;93.113571;0.055273;1.555094;0.330686;194.146271;0.721852;26650;2394;0.317739;79.175461;0.058433;0.779238;0.665601;664.79187;0.869347;0.417653;2.435294;0.631805;0.707205;0.864662;2
37088;2490;0.31997;105.209373;0.07517;1.792317;0.239448;295.025513;0.683686;57321;7995;0.294547;101.268303;0.011269;1.019271;0.504021;1482.119263;0.843507;0.504983;2.284404;0.640708;0.647023;0.311445;2
24514;1569;0.328417;87.756821;0.125135;2.208823;0.12591;262.621674;0.583696;32778;3879;0.322825;88.263382;0.027375;0.914585;0.595276;1335.392456;0.850578;0.638352;1.996183;0.866265;0.74788;0.404486;2
30222;2358;0.307706;88.290421;0.068304;1.114598;0.515897;167.358276;0.824068;77529;15366;0.270562;110.815788;0.004126;1.438974;0.303178;1477.458618;0.809476;0.278472;1.757079;0.575993;0.389815;0.153456;2
26314;1866;0.319865;94.815498;0.094967;1.61398;0.327756;200.199692;0.718947;41697;4410;0.319165;94.652649;0.026942;0.983501;0.547145;1166.578979;0.846384;0.422715;1.86974;0.744224;0.631077;0.423129;2
28781;3186;0.300497;101.761238;0.035631;1.631068;0.338332;388.571869;0.722598;41319;9201;0.26695;85.250412;0.006133;0.742561;0.639781;1902.603638;0.877148;0.411816;3.011342;0.703184;0.696556;0.346267;2
23081;1638;0.326612;98.476257;0.108103;2.149959;0.162838;370.860901;0.604573;26841;2082;0.32295;66.287094;0.077812;0.465587;0.795677;1041.240479;0.920333;0.588876;2.068182;0.816813;0.859916;0.786744;2
33894;2172;0.300799;95.441978;0.090284;1.222964;0.461656;158.83905;0.800817;81316;13248;0.25703;110.812386;0.005822;1.414419;0.293685;1561.935547;0.787526;0.317478;1.66055;0.432342;0.416818;0.163949;2
25259;1590;0.327371;92.665245;0.125554;1.978728;0.204322;275.362915;0.652744;38145;4488;0.309014;97.469292;0.023798;1.062105;0.504292;1345.009766;0.828816;0.541678;1.840278;0.834643;0.662184;0.354278;2
25985;1944;0.319725;98.996849;0.086405;1.324737;0.427801;213.015656;0.784896;54275;8316;0.299362;110.187241;0.009862;1.255899;0.378901;1310.501587;0.826435;0.341876;1.76087;0.470954;0.478766;0.233766;2
30860;2070;0.313064;86.065376;0.090503;1.118178;0.494992;155.255569;0.81403;81931;16206;0.294451;107.518547;0.00392;1.589239;0.246124;1879.98645;0.757962;0.293184;1.594761;0.541641;0.376658;0.12773;2
27435;1785;0.327473;97.624069;0.108203;1.821337;0.241537;225.39975;0.676121;41037;4224;0.308238;94.883545;0.028903;0.943835;0.546652;1079.83374;0.858654;0.503579;1.911135;0.500846;0.668543;0.422585;2
