Luas I;Keliling I;Solidity I;Granularity I;Circularity I;Rerata R I;Rerata G I;Rerata B I;Entropi I;Energi I;Kontras I;Homogenitas I;Luas P;Keliling P;Solidity P;Granularity P;Circularity P;Rerata R P;Rerata G P;Rerata B P;Entropi P;Energi P;Kontras P;Homogenitas P;Luas Normal I P;Keliling Normal I;Eccentricity;LI per LP ;KI per KP;Jenis
22715;3168;0.236578;69.284904;0.028441;36.069305;3.679598;16.285036;0.853033;0.610659;70.99128;0.870313;28414;14088;0.182993;67.89991;0.001799;26.733658;20.608799;25.747837;0.674821;0.71372;752.908936;0.890387;0.214454;2.43318;0.579592;0.79943;0.224872;5
24694;2274;0.283868;72.829643;0.06001;38.754807;3.391072;19.867414;0.880955;0.6012;46.901089;0.859382;24822;7536;0.22455;42.087727;0.005492;9.11657;6.833627;8.763221;0.271046;0.894687;279.105896;0.956035;0.221789;1.68945;0.418457;0.994843;0.301752;5
21732;3351;0.25084;85.644096;0.02432;41.719666;7.815202;33.618641;0.81081;0.64669;118.55938;0.872757;74568;13779;0.27501;108.849899;0.004935;100.782616;81.118347;98.938667;1.581233;0.268917;1163.566406;0.755778;0.191925;2.489599;0.18118;0.291439;0.243196;5
19995;3300;0.208705;83.997581;0.023073;40.342125;4.555512;31.866583;0.78031;0.653574;120.969452;0.880504;49717;13101;0.246619;97.961502;0.00364;60.020302;48.570297;59.676414;1.086611;0.497191;1235.755737;0.831908;0.187588;2.526799;0.836407;0.402176;0.251889;5
19522;3075;0.275466;86.215607;0.025944;43.299931;6.246855;36.38168;0.854789;0.630023;143.537354;0.859646;64424;9792;0.295676;108.814545;0.008443;100.084755;81.252121;99.216675;1.583741;0.271559;1089.72998;0.74978;0.201628;2.467897;0.505837;0.303024;0.314032;5
24975;3732;0.243535;91.423897;0.022534;47.559078;9.754025;40.462391;0.894617;0.612212;142.617661;0.856197;86866;15696;0.257218;110.198761;0.004431;114.279579;92.934326;114.681458;1.769902;0.209634;1256.108398;0.722888;0.213188;2.724087;0.136578;0.287512;0.237768;5
23493;3513;0.288988;85.395897;0.023922;41.185997;5.452409;33.170246;0.803297;0.650245;121.447014;0.877154;96607;13359;0.275681;107.377029;0.006803;126.847076;102.211136;126.732239;1.93026;0.158142;990.058716;0.692927;0.18976;2.495028;0.736457;0.243181;0.262969;5
23600;3081;0.220108;79.048706;0.031242;36.929951;6.625606;30.985039;0.7595;0.668119;88.895882;0.881339;93279;17220;0.26943;106.039413;0.003953;109.926414;92.051781;111.160568;1.690028;0.208167;1154.472534;0.741213;0.17942;2.116071;0.446728;0.253004;0.17892;5
23376;3975;0.214804;87.9254;0.018591;42.279667;8.528686;37.184532;0.809173;0.6519;153.587173;0.870724;79297;14712;0.275322;110.777817;0.004604;97.925659;79.669731;98.982674;1.556545;0.288262;1199.668213;0.762688;0.188146;2.819149;0.284194;0.29479;0.270188;5
22912;3171;0.272499;86.312881;0.028634;44.625874;8.01196;37.176662;0.87552;0.615765;122.255791;0.858755;64263;16590;0.255633;104.019897;0.002934;79.743088;65.618462;80.025635;1.383107;0.361406;1438.739136;0.792137;0.211116;2.405918;0.61053;0.356535;0.191139;5
22141;3198;0.291782;84.963341;0.027205;40.276405;7.314294;33.848042;0.781463;0.660131;118.249504;0.874501;50075;10635;0.259091;92.805756;0.005564;49.638592;39.609772;50.083202;0.929729;0.572993;935.431396;0.862249;0.183682;2.271307;0.347025;0.442157;0.300705;5
22798;3531;0.287766;81.146126;0.022978;39.01688;7.257074;32.319054;0.78945;0.653592;103.125351;0.877262;61680;10686;0.282274;98.067711;0.006788;66.030037;52.795731;66.069557;1.202391;0.446051;809.7146;0.817085;0.187978;2.525751;0.450767;0.369617;0.330432;5
